filename,words,year_float,characters,num_pages,orientation,year,words_per_page,chars_per_word,appx_start,ref_start,appx_len_chars,ref_len_chars,appx_len_words,ref_len_words,appx_prop_words,ref_prop_words,appx_prop_chars,ref_prop_chars,ref_words_per_char,appx_words_per_char,body_len_chars,body_len_words
2002/p87-palen,7741,2002.0,51489,9,0.0,2002,860.1111111111111,6.651466218834776,False,46722,0,4767,0,663,0.0,0.08564784911510141,0.0,0.09258288178057449,7.1900452488687785,,46722,7078
2002/p96-baker,7672,2002.0,52406,10,0.0,2002,767.2,6.830813347236705,False,49731,0,2675,0,362,0.0,0.047184567257559956,0.0,0.051043773613708356,7.389502762430939,,49731,7310
2004/p102-mandryk,9201,2004.0,63781,10,0.0,2004,920.1,6.931963916965548,False,56859,0,6922,0,915,0.0,0.09944571242256277,0.0,0.1085276179426475,7.565027322404371,,56859,8286
2004/p112-neale,9673,2004.0,66519,10,0.0,2004,967.3,6.876770391812261,False,56603,0,9916,0,1357,0.0,0.14028739791171302,0.0,0.14907019047189524,7.307295504789978,,56603,8316
2004/p11-yang,8957,2004.0,63607,10,0.0,2004,895.7,7.101373227643184,False,58712,0,4895,0,624,0.0,0.06966618287373004,0.0,0.07695693870171522,7.844551282051282,,58712,8333
2004/p122-kiesler,2052,2004.0,14651,3,0.0,2004,684.0,7.139863547758285,False,12790,0,1861,0,252,0.0,0.12280701754385964,0.0,0.12702204627670466,7.384920634920635,,12790,1800
2004/p125-randell,7369,2004.0,45916,7,0.0,2004,1052.7142857142858,6.2309675668340345,False,40222,0,5694,0,764,0.0,0.1036775681910707,0.0,0.12400906002265005,7.452879581151833,,40222,6605
2004/p132-tjora,9828,2004.0,63682,10,0.0,2004,982.8,6.47964997964998,False,57655,0,6027,0,801,0.0,0.0815018315018315,0.0,0.09464212807386703,7.52434456928839,,57655,9027
2004/p142-hardstone,9475,2004.0,62361,10,0.0,2004,947.5,6.5816358839050135,False,54920,0,7441,0,1000,0.0,0.10554089709762533,0.0,0.11932137072850019,7.441,,54920,8475
2004/p152-gruen,8056,2004.0,52123,10,0.0,2004,805.6,6.470084409136048,False,49764,0,2359,0,321,0.0,0.039846077457795434,0.0,0.045258331254916254,7.348909657320872,,49764,7735
2004/p162-xia,8328,2004.0,56565,10,0.0,2004,832.8,6.7921469740634,False,50806,0,5759,0,793,0.0,0.0952209414024976,0.0,0.10181207460443738,7.262295081967213,,50806,7535
2004/p172-dyck,9320,2004.0,61947,10,0.0,2004,932.0,6.646673819742489,False,59036,0,2911,0,395,0.0,0.04238197424892704,0.0,0.046991783298626244,7.369620253164557,,59036,8925
2004/p182-dabbish,9352,2004.0,63174,10,0.0,2004,935.2,6.755132591958939,False,54702,0,8472,0,1167,0.0,0.12478614200171087,0.0,0.13410580302022984,7.259640102827763,,54702,8185
2004/p192-bardram,7124,2004.0,46987,10,0.0,2004,712.4,6.595592363840539,False,40385,0,6602,0,908,0.0,0.1274564851207187,0.0,0.14050694873049993,7.270925110132159,,40385,6216
2004/p1-chung,8297,2004.0,56261,10,0.0,2004,829.7,6.780884657104978,False,53753,0,2508,0,319,0.0,0.03844763167409907,0.0,0.04457794920104513,7.862068965517241,,53753,7978
2004/p202-jones,9796,2004.0,67247,10,0.0,2004,979.6,6.864740710494079,False,61770,0,5477,0,742,0.0,0.07574520212331563,0.0,0.08144601246152244,7.381401617250674,,61770,9054
2004/p212-beenen,9337,2004.0,64614,10,0.0,2004,933.7,6.920209917532398,False,58669,0,5945,0,826,0.0,0.0884652457962943,0.0,0.09200792397932336,7.197336561743342,,58669,8511
2004/p21-hupfer,3368,2004.0,22637,4,0.0,2004,842.0,6.721199524940618,False,20976,0,1661,0,235,0.0,0.06977434679334917,0.0,0.07337544727658259,7.068085106382979,,20976,3133
2004/p222-nardi,10461,2004.0,65768,10,0.0,2004,1046.1,6.286970652901252,False,63336,0,2432,0,312,0.0,0.029825064525379984,0.0,0.03697846977253375,7.794871794871795,,63336,10149
2004/p232-dave,8684,2004.0,59233,10,0.0,2004,868.4,6.820935052970981,False,53549,0,5684,0,749,0.0,0.08625057577153386,0.0,0.09596002228487499,7.588785046728972,,53549,7935
2004/p242-morris,7923,2004.0,52133,10,0.0,2004,792.3,6.579957086962009,False,47689,0,4444,0,592,0.0,0.07471917203079642,0.0,0.08524351178715976,7.506756756756757,,47689,7331
2004/p252-tse,8199,2004.0,56749,10,0.0,2004,819.9,6.921453835833638,False,53154,0,3595,0,485,0.0,0.05915355531162337,0.0,0.06334913390544326,7.412371134020619,,53154,7714
2004/p25-cheng,3265,2004.0,22764,4,0.0,2004,816.25,6.972128637059725,False,20879,0,1885,0,239,0.0,0.07320061255742726,0.0,0.08280618520470918,7.887029288702929,,20879,3026
2004/p262-morris,4010,2004.0,27506,4,0.0,2004,1002.5,6.859351620947631,False,25749,0,1757,0,239,0.0,0.05960099750623441,0.0,0.0638769722969534,7.351464435146443,,25749,3771
2004/p266-paek,3127,2004.0,21255,4,0.0,2004,781.75,6.797249760153502,False,18973,0,2282,0,286,0.0,0.09146146466261593,0.0,0.10736297341801929,7.979020979020979,,18973,2841
2004/p274-matsushita,7510,2004.0,44471,10,0.0,2004,751.0,5.921571238348868,False,40034,0,4437,0,650,0.0,0.08655126498002663,0.0,0.09977288570079378,6.826153846153846,,40034,6860
2004/p284-ryall,9187,2004.0,61494,10,0.0,2004,918.7,6.693588766735605,False,56907,0,4587,0,610,0.0,0.06639817132905192,0.0,0.07459264318470095,7.519672131147541,,56907,8577
